0.0,-0.071,0.03,-0.03,0.071,-0.014,0.116,0.052,-0.052,-0.116,0.014,1.268,0.186,-1.268,-0.369,0.088,-0.351,-0.175,-0.466,-0.5,-0.742,-0.449,-0.05,0.435,-0.262,0.044,0.03,0.286,-0.227,0.15,0.064,0.006,-0.005,-0.0,0.002,-0.0,-0.175,-0.0,0.004
0.002,-0.071,0.03,-0.03,0.071,-0.014,0.116,0.052,-0.052,-0.116,0.014,1.268,0.186,-1.268,-0.369,0.088,-0.351,-0.175,-0.466,-0.5,-0.742,-0.449,-0.05,0.435,-0.262,0.044,0.03,0.286,-0.227,0.15,0.064,0.006,-0.005,-0.0,0.002,-0.0,-0.175,-0.0,0.004
0.004,-0.071,0.03,-0.03,0.071,-0.014,0.116,0.052,-0.052,-0.116,0.014,1.268,0.186,-1.268,-0.369,0.088,-0.351,-0.175,-0.466,-0.5,-0.742,-0.449,-0.05,0.435,-0.262,0.044,0.03,0.286,-0.227,0.15,0.064,0.006,-0.005,-0.0,0.002,-0.0,-0.175,-0.0,0.004
0.006,-0.071,0.03,-0.03,0.071,-0.014,0.116,0.052,-0.052,-0.116,0.014,1.268,0.186,-1.268,-0.369,0.088,-0.351,-0.175,-0.466,-0.5,-0.742,-0.449,-0.05,0.435,-0.262,0.044,0.03,0.286,-0.227,0.15,0.064,0.006,-0.005,-0.0,0.002,-0.0,-0.175,-0.0,0.004
0.008,-0.071,0.03,-0.03,0.071,-0.014,0.116,0.052,-0.052,-0.116,0.014,1.268,0.186,-1.268,-0.369,0.088,-0.351,-0.175,-0.466,-0.5,-0.742,-0.449,-0.05,0.435,-0.262,0.044,0.03,0.286,-0.227,0.15,0.064,0.006,-0.005,-0.0,0.002,-0.0,-0.175,-0.0,0.004
0.01,-0.071,0.03,-0.03,0.071,-0.014,0.116,0.052,-0.052,-0.116,0.014,1.268,0.186,-1.268,-0.369,0.089,-0.351,-0.175,-0.466,-0.5,-0.742,-0.449,-0.05,0.435,-0.262,0.044,0.03,0.286,-0.227,0.15,0.064,0.006,-0.005,-0.0,0.002,-0.0,-0.175,-0.0,0.004
0.012,-0.071,0.03,-0.03,0.071,-0.014,0.116,0.052,-0.052,-0.116,0.014,1.268,0.186,-1.268,-0.369,0.089,-0.351,-0.175,-0.466,-0.5,-0.742,-0.449,-0.05,0.435,-0.262,0.044,0.03,0.286,-0.227,0.15,0.064,0.006,-0.005,-0.0,0.002,-0.0,-0.175,-0.0,0.004
0.014,-0.071,0.03,-0.03,0.071,-0.014,0.116,0.052,-0.052,-0.116,0.014,1.268,0.186,-1.268,-0.369,0.089,-0.351,-0.175,-0.466,-0.5,-0.742,-0.449,-0.05,0.435,-0.262,0.044,0.03,0.286,-0.227,0.15,0.064,0.006,-0.005,-0.0,0.002,-0.0,-0.175,-0.0,0.004
0.016,-0.071,0.03,-0.03,0.071,-0.014,0.116,0.052,-0.052,-0.116,0.014,1.268,0.186,-1.268,-0.369,0.089,-0.351,-0.175,-0.466,-0.5,-0.742,-0.449,-0.05,0.435,-0.262,0.044,0.03,0.286,-0.227,0.15,0.064,0.006,-0.005,-0.0,0.002,-0.0,-0.175,-0.0,0.004
0.018,-0.071,0.03,-0.03,0.071,-0.014,0.116,0.052,-0.052,-0.116,0.014,1.268,0.186,-1.268,-0.369,0.09,-0.351,-0.175,-0.466,-0.5,-0.742,-0.449,-0.05,0.435,-0.262,0.044,0.03,0.286,-0.227,0.15,0.064,0.006,-0.005,-0.0,0.002,-0.0,-0.175,-0.0,0.004
